#Brand;BrandDescription;TotalQuantitySales;TotalQuantityPurchase;Profit;MarginPercent
4222;Bacardi Gold Rum;18497;21056;61005.46;36
29205;La Terre Merlot;9;12;8.49;11
26374;Orin Swift Papillon Red;277;295;4633.43;36
19074;Roaring Meg Pnt Nr;584;612;4889.24;63
13276;Finca Abril Rapsodia Malbec;10;12;35.98;24
21537;La Merika Pnt Nr CC;1;12;-110.25;-87
18275;Sartori Valpolicella Cls;121;144;415.55;35
23041;Spring Valley Katherine Cab;24;48;-201.60;-19
11080;G Vigouroux Pigmentum Malbec;1246;1315;2706.24;31
8678;Banfi Chianti Clsc RSV;14191;14292;86497.65;65
14100;Douglass Hill Chard;197;216;311.71;36
13991;Colombo Cape Bleue Rose VdP;4217;4499;15266.70;52
19127;Saracco Moscato d'Asti;1018;1105;4295.07;35
19768;B & G CDP Rose;227;303;366.89;17
18561;Carlo Rossi Moscato Sangria;89;94;388.47;41
34501;Gabbiano Pinot Grigio Delle;96;102;256.26;36
32107;Erath Pnt Gris Ore;2255;2320;10736.05;56
43359;David Bruce Pnt Nr RRV;900;958;10443.84;40
16468;Gerard Bertrand Chard Rsv Sp;384;395;1657.11;54
12443;Kim Crawford Svgn Bl Marlbro;1159;1404;665.61;7
42751;Five Oaks Cab Svgn Cal;390;498;667.32;55
8066;DeKuyper Triple Sec;31254;31564;60940.14;27
5858;Ole Smoky Apple Pie Moonshin;34437;36494;13261.09;23
19160;Tommasi Tenuta Filo Prosecco;720;763;3861.61;50
40755;D Bosler Pnt Nr Casablanca;57;60;279.63;49
8632;Arak-Gantous & Abouraad;1217;1324;6663.43;39
25918;Hogue Cellars Rsl Wash;717;723;3270.59;77
26580;Sullivan Toile Cab Svgn Napa;3093;4641;-1878.39;-3
5440;Jagermeister Liqueur;18082;18298;146972.02;31
20447;Barefoot Bubbly Pink Moscato;3351;3486;10712.91;47
23356;Bacio Divino 12 Pazzo;2073;2097;15241.68;50
26845;Stillman St Chard;11;24;-62.31;-30
21625;Kirkland Signature Chard 12;20;24;63.96;25
5233;Cointreau Liqueur;9825;10071;52532.25;36
2209;Pendleton 1910;968;975;1301.82;6
2663;Dewars White Label;67144;69001;711367.30;48
25863;Locations OR Red;189;253;617.67;16
4390;Ron Zacapa 23 Yr Old Rum;2627;2721;27292.80;30
42348;Livingston Sangria Natural;72;81;178.86;46
8634;Manischewitz Cream White Cnd;211;249;320.99;21
3416;Danziger Gold Vodka;1396;3003;-9857.36;-30
12304;Pigmentum Rose Malbec Vigour;694;775;2128.81;34
26376;Orin Swift Palmero Cab Svgn;242;256;2850.22;39
12775;Joel Gott Svgn Bl;8743;8930;30737.57;51
28050;Morgan Winery Albarino;4;60;-607.04;-90
6735;Gallo Twin Valley Chard Cal;3505;3528;12403.11;54
